date,time,temperature,sunlight_intensity,humidity,pressure
2022-01-01,00:00:00,22.3,0.76,34.2,1006.2
2022-01-01,01:00:00,21.8,0.77,35.1,1006.1
2022-01-01,02:00:00,21.4,0.78,35.9,1006.0
2022-01-01,03:00:00,20.8,0.79,36.5,1005.9
2022-01-01,04:00:00,20.3,0.8,37.2,1005.8
2022-01-01,05:00:00,19.9,0.81,37.8,1005.7
2022-01-01,06:00:00,19.6,0.82,38.5,1005.6
2022-01-01,07:00:00,19.4,0.83,39.2,1005.5
2022-01-01,08:00:00,19.2,0.84,39.9,1005.4
2022-01-01,09:00:00,19.1,0.85,40.6,1005.3
2022-01-01,10:00:00,19.0,0.86,41.3,1005.2
2022-01-01,11:00:00,19.1,0.87,42.0,1005.1
2022-01-01,12:00:00,19.2,0.88,42.7,1005.0
2022-01-01,13:00:00,19.4,0.89,43.3,1004.9
2022-01-01,14:00:00,19.7,0.9,43.9,1004.8
2022-01-01,15:00:00,20.0,0.91,44.5,1004.7
2022-01-01,16:00:00,20.4,0.92,45.1,1004.6
2022-01-01,17:00:00,20.8,0.93,45.7,1004.5
2022-01-01,18:00:00,21.3,0.94,46.3,1004.4
2022-01-01,19:00:00,21.8,0.95,46.8,1004.3
2022-01-01,20:00:00,22.2,0.96,47.3,1004.2
2022-01-01,21:00:00,22.6,0.97,47.8,1004.1
2022-01-01,22:00:00,22.9,0.98,48.2,1004.0
2022-01-01,23:00:00,23.1,0.99,48.6,1003.9
